,0,1,2,3,4,5,6,7,8,9,10
40,989,52,19,1485,1.50151668351871,138,375,0.330062444246209,579,1,3
41,2557,136,18,3895,1.52326945639421,350,971,0.401577503429355,1356,1,3
42,1169,50,23,1647,1.40889649272883,179,410,0.465722801788376,592,2,2
43,16,2,8,35,2.1875,3,6,0.91304347826087,10,0,6
44,2655,154,17,4129,1.55517890772128,406,886,0.359643916913947,1369,1,3
45,177,8,22,291,1.64406779661017,25,78,0.640909090909091,97,1,4
46,2409,99,24,3827,1.58862598588626,375,912,0.352148579752367,1413,1,4
47,98,6,16,166,1.69387755102041,20,29,0.660714285714286,49,1,4
48,13,1,13,23,1.76923076923077,4,7,0.933333333333333,7,0,5
49,349,21,16,621,1.77936962750716,85,156,0.481981981981982,194,0,5
50,385,26,14,712,1.84935064935065,86,160,0.640860215053763,154,0,5
51,750,44,17,1078,1.43733333333333,91,287,0.515752625437573,366,2,2
52,98,6,16,175,1.78571428571429,20,29,0.660714285714286,49,0,5
53,53,7,7,79,1.49056603773585,5,17,0.742424242424242,23,2,2
54,98,6,16,169,1.72448979591837,20,29,0.660714285714286,49,0,5
55,1034,59,17,1421,1.3742746615087,103,361,0.417637271214642,570,2,2
56,838,28,29,1704,2.03341288782816,232,384,0.503118503118503,375,0,6
57,434,28,15,639,1.47235023041475,53,187,0.549603174603175,212,2,2
58,1238,56,22,2025,1.63570274636511,261,435,0.516973125884017,642,1,4
59,98,6,16,162,1.6530612244898,20,29,0.660714285714286,49,1,4
60,41,5,8,56,1.36585365853659,6,17,0.836734693877551,23,2,1
61,41,5,8,56,1.36585365853659,6,17,0.836734693877551,23,2,1
62,41,5,8,56,1.36585365853659,6,17,0.836734693877551,23,2,1
63,1681,65,25,2663,1.5841760856633,330,607,0.42,858,1,4
64,11586,695,16,20180,1.741757293285,2564,4250,0.279864176570458,5476,0,5
65,1460,54,27,3141,2.1513698630137,437,602,0.504363001745201,600,0,6
66,6922,402,17,12639,1.82591736492343,1695,2769,0.314720812182741,3390,0,5
67,441,32,13,979,2.21995464852608,139,190,0.621323529411765,166,0,6
68,98,6,16,159,1.62244897959184,20,29,0.660714285714286,49,1,4
69,1340,65,20,2352,1.75522388059701,325,506,0.459896507115136,686,0,5
70,601,42,14,1152,1.91680532445923,160,274,0.398666666666667,296,0,5
71,4090,221,18,5863,1.43349633251834,630,1106,0.287515502273667,1683,2,2
72,606,7,86,1008,1.66336633663366,127,228,0.513677811550152,365,0,6
73,53,7,7,76,1.43396226415094,5,20,0.742424242424242,23,2,2
74,1224,61,20,2783,2.27369281045752,405,516,0.479634831460674,592,0,6
75,106,4,26,147,1.38679245283019,9,47,0.711864406779661,61,1,3
76,16,2,8,33,2.0625,3,6,0.91304347826087,10,0,6
77,1748,107,16,2385,1.36441647597254,201,663,0.326952141057934,923,2,2
78,53,7,7,90,1.69811320754717,5,20,0.742424242424242,23,1,3
79,659,29,22,976,1.48103186646434,127,225,0.543080939947781,357,1,3
80,6069,281,21,10619,1.74971164936563,1358,2221,0.298793052693553,3013,0,5
81,53,7,7,88,1.66037735849057,5,17,0.742424242424242,23,1,3
82,265,22,12,846,3.19245283018868,74,114,0.619354838709677,112,0,6
83,2087,113,18,3110,1.49017728797317,286,812,0.448609941027801,1080,1,3
84,1028,22,46,1954,1.90077821011673,272,398,0.531858407079646,598,0,6
85,3477,248,14,6084,1.74978429680759,669,1484,0.265470618824753,1778,0,5
86,1799,39,46,3035,1.68704836020011,295,661,0.254290171606864,1056,0,6
87,308,17,18,634,2.05844155844156,99,161,0.574235807860262,141,0,6
88,605,16,37,1191,1.96859504132231,182,233,0.579017264276228,343,0,6
89,98,6,16,170,1.73469387755102,20,29,0.660714285714286,49,0,5
90,3725,109,34,6416,1.72241610738255,831,1553,0.295352592858424,1859,0,6
91,41,5,8,56,1.36585365853659,6,17,0.836734693877551,23,2,1
92,41,5,8,56,1.36585365853659,6,17,0.836734693877551,23,2,1
93,41,5,8,56,1.36585365853659,6,17,0.836734693877551,23,2,1
94,476,15,31,710,1.49159663865546,83,160,0.60707635009311,256,1,4
95,98,6,16,162,1.6530612244898,20,29,0.660714285714286,49,1,4
96,53,7,7,79,1.49056603773585,5,17,0.742424242424242,23,2,2
97,2003,77,26,3003,1.49925112331503,267,762,0.496927129060579,1121,1,4
98,15850,1068,14,24879,1.56965299684543,2898,5121,0.239500023945213,7597,1,3
99,1356,36,37,2100,1.54867256637168,260,465,0.402562373567094,720,0,5
100,15,2,7,29,1.93333333333333,4,11,0.818181818181818,9,0,5
101,851,31,27,1737,2.04112808460635,321,429,0.382171226831421,515,0,6
102,1949,103,18,2442,1.25295023088763,187,747,0.315693430656934,998,2,1
103,3666,248,14,5454,1.48772504091653,515,1300,0.359774700774466,1988,2,2
104,707,22,32,1250,1.76803394625177,182,236,0.555555555555556,331,0,6
105,377,7,53,575,1.52519893899204,53,147,0.669191919191919,245,0,6
106,1368,37,36,1989,1.45394736842105,177,474,0.463888888888889,766,1,4
107,661,6,110,949,1.4357034795764,122,353,0.729312762973352,307,0,6
108,1982,60,33,2514,1.26841574167508,216,710,0.253623188405797,858,2,2
109,673,49,13,1214,1.8038632986627,148,282,0.434047350620068,481,0,5
